,id,followers,genres,name,popularity
562982,5yIIaIDeS6EMcJ4ea9nrde,1877.0,['indonesian viral pop'],Liany Panmuma,38
34784,08QgHDI2nHsmUNwR6Jwc40,1.0,[],AMM0,0
197461,48zGpCxjh8LhlVGrUZe0vk,154.0,[],Joe Mendes,0
1031088,1iM63Zd4kiiMhopPksRwd7,141.0,[],Zone Zero,1
354787,1L3mpRdtprtoBeuAxr4vEI,18.0,[],Doctor Ghost,0
131281,3y4COwn8HHP0ofxxHzmRAC,0.0,[],Chorale Elisabeth Brasseur,3
204157,4fBqMaQTComy3QptoSYdK2,15.0,[],The Zoundcrackers,0
504693,0SpIoKZX4brbECbY5dTFvQ,186.0,[],Lanna Rodrigues,5
674699,2FJ85Htsf2fJLSz4UoIBut,22.0,[],Tiny Spiders,0
479125,5xxJPCUUwxUD8c7xbyE8ZX,1286.0,[],Beak Nasty,23
957744,6hI0SOIs6yh5TqzIZkDjFH,9.0,[],Robin Tollaro,0
548295,6fSe21md2S9gdMblgawT3o,113.0,[],ไผ่ พงศธร (Pai Pongsathorn),0
464742,59qgETHYT1x6WQEESzMwVw,1.0,[],Victor Mei,0
152815,7MSHbuGM1HwwXpys6YpuA0,1081.0,['nyc pop'],Jules Olson,14
1049727,5SLqLeR6049EaLVvhkizor,69.0,[],Armando Masta,1
759991,1Mne20kCcS8fWmg7aTJfNM,46.0,[],Insecticide Rain,0
140762,2ga5ADaBpljQ3YrCh99ZMq,30013.0,"['disco', 'diva house', 'post-disco']",Jocelyn Brown,53
417205,6TzjbzlhIL1cRGnekiWc02,623.0,[],shivan,0
309753,4lu1o8pFy24ipma9ZOniTZ,186.0,[],Atix,6
368689,4IEok0bVXmCJjAPauqRsMz,193.0,[],Trío Correntino Pancho Cué,8
1037756,6ea7cweilh3RUyRnit6C0w,1404.0,[],Mibbs,13
139334,2ckfYpz65ZueWZa2dB6yXC,72642.0,['freak folk'],Sibylle Baier,47
605798,5KlYuRBkkoNLgCchKjT19n,4.0,[],Ralf Von Valler,0
465363,5Z2DIKTs5mxeo4h0QG2BtA,13.0,[],Francisco Mendes,0
1034816,4IDq91WAdNAGyMCZASptL1,19.0,[],Panoramas,0
1059782,4t8yKHgyj8i9W8R9Mw96w6,16.0,[],Sour Blues,0
841293,2W9AvsdGQtpFkJrkfwSaOk,334.0,['space ambient'],SETI,6
926444,5fZRw0BjSjEvV0hN09SImt,49.0,[],After Eternity,0
528678,5HRIEV8S3uazuxsRWlkTLI,10.0,[],Bill Pound,0
546089,4gatZ7NxDCUhs6at6Ii74g,27.0,[],Koorosh Angali,2
1052426,3YaX5vgVTMbcdNRcCbUvp0,99.0,[],Karnya,0
50128,6EWzrar8NxPYxH9mLdgkat,14064.0,"['colombian indie', 'colombian rock']",Burning Caravan,32
895588,6gyElq9EMzLS62gq7s9t8z,9.0,[],Michael Shakley & Graham,0
311292,1JWaZOiY44xIh4GBf3Z29P,459.0,[],Sam Rae,4
465336,2JlUmbT7jl3UIdCYJjJsHe,2.0,[],Ross Larimore,0
993011,20SgWOgEc59fb0uDGplOts,108.0,[],August Heinrich Hoffmann von Fallersleben,10
544016,3LJf84QuvhItAl3vQLZUlT,202.0,[],Primordium,0
615336,3k4D8v5eSuoPT0MbClAvGU,1437.0,[],Milton Guedes,23
880888,7GrRnpFQIHpInO0QaWu2TO,28.0,[],Yossela & Atira Ote,1
331083,30E0yxNOWeaUFJjpc8bNJB,18.0,[],Trio Hasna,0
455712,2vHd0QjQFz7Jm1ZSsDT35n,85.0,['croatian metal'],Rising Dream,0
57266,02apAGNNHbCAvanmiHyzrS,0.0,[],Pre-Eminence,0
488516,4fIWOAXugiZGq59hZ2hGh2,7.0,[],Glen Click,0
70547,04TAa3YNxpj9uYjov1HXza,1.0,[],yHn Face,0
61675,66K4gRPXBnUincPVW35oUs,843.0,"['jazz organ', 'soul jazz']",Shirley Scott Trio,7
979452,7ppsSKIwA82t7oZoesyH4j,2.0,[],Michael Oelbaum,0
766915,4ZZXjfyZgh2nL6zQA8mSez,13.0,[],Ursula Butts,0
771334,3RmmiBhIgItY17T9v17ohI,77.0,[],Zero Mostel;Milton Greene,0
963520,2jr3aMcc87T9tNzj1RVhjf,204.0,['musica maranhense'],Heroína do Iguará,11
753767,41jiVPCHRsnj6IITHzEJ4s,441.0,['norwegian punk'],Beinkjør,7
765282,0UhHLXJcgGYqo3SfpGiK9x,3.0,[],Juhani Nummi,0
944458,6jx6dAEIg8JWvRJCjfsUxC,45.0,[],Optical Report,2
802029,5WY1yCgtVHWjKPI5nwLSue,5939.0,[],Leonz,57
896170,4fqBlFK3WSyO8MpKfsPUpg,71.0,[],Excuses For Skipping,0
535213,6PnGY1Z9EN3jJQ7PNbTeZr,423.0,[],Sabua,14
149285,01Hd5CNVqQ1sTdRDldN83Q,4.0,[],$outh Boy Green,0
407850,71YcbSsTnV8aDHhwmnAXXU,47.0,['abstract'],Antanas Jasenka,1
